SimPoint	BBV	INS	BR	PROC
950.410545	1224.127712	994.5518277	1102.732739	1462.72496
978.1266475	1245.102158	1023.804682	1126.801195	1478.666432
950.3818762	1212.25976	992.7387824	1116.435815	1450.387486
950.0084638	1211.266256	987.6139784	1113.25858	1450.291403
970.4152816	1227.076307	1000.013449	1131.204423	1477.447666
953.7007677	1214.168576	1003.119602	1104.555314	1479.802514
952.7212244	1221.297505	989.1360215	1113.362865	1466.583528
968.1882849	1225.365457	998.6246546	1120.028296	1468.191474
969.1259726	1226.099036	1000.665524	1113.028883	1469.283257
962.8676173	1244.485624	995.2502348	1109.691369	1462.873849
950.0649619	1211.310938	987.5734808	1107.612471	1489.636348
950.0065054	1213.940565	1003.72765	1110.314782	1496.59849
964.3462949	1245.199643	996.2356034	1110.400276	1464.352052
950.0618721	1211.35119	1013.171928	1119.641826	1450.31473
991.9825209	1245.835493	1038.183025	1140.711196	1495.913678
978.685874	1236.116887	1004.727154	1129.505845	1478.853748
973.9399902	1229.805243	1001.915986	1122.385925	1476.538568
980.9550454	1235.637198	1006.084262	1119.6234	1528.089495
973.0671923	1246.109156	1021.436408	1130.735091	1513.782171
950.0172858	1211.291757	995.0997104	1122.089757	1451.81315
950.1996054	1211.406394	1014.715943	1102.623225	1451.78419
950.1002659	1213.762531	1015.563982	1112.993573	1455.61365
950.4323359	1211.7585	991.737133	1102.925346	1453.111195
950.4944426	1212.743281	987.8007109	1108.881654	1487.808711
950.2823581	1211.548043	1006.029121	1115.789331	1455.375825
950.0341518	1211.385753	995.6953582	1103.41641	1463.029715
986.9568762	1241.189774	1029.028623	1133.206332	1489.236999
951.2958241	1212.665738	988.3252994	1103.219459	1462.795392
953.2819208	1213.801089	995.3017646	1104.320248	1456.115851
971.3608269	1227.885217	1000.360047	1114.268548	1476.041917
953.0989537	1213.726468	990.8117238	1104.659888	1457.778858
950.0036069	1233.186888	1010.694635	1102.588353	1456.873685
952.1327818	1226.636513	993.9693245	1103.683286	1452.166412
952.529168	1213.376185	993.6206702	1107.653338	1453.352532
951.1218139	1218.636653	988.8151867	1122.98154	1489.51709
961.3923179	1224.974014	999.5710354	1108.78324	1468.309621
950.1493381	1217.187274	1018.564606	1112.084521	1498.89479
950.394249	1211.58698	996.6074924	1108.770356	1450.68706
973.8916531	1233.709462	1003.117876	1133.451072	1474.036713
950.1658226	1211.922103	987.6710831	1107.02688	1450.173206
950.6828657	1213.007132	991.1004013	1120.540251	1450.748303
988.8300667	1243.48336	1010.952879	1136.999486	1496.97587
951.9467561	1212.933603	989.4875677	1105.280356	1453.351108
972.256203	1236.252907	1026.040431	1114.758313	1474.583731
976.6093835	1234.503995	1009.303109	1117.358052	1480.481428
950.0109166	1211.301943	989.261253	1104.44167	1463.536174
950.0130186	1224.010928	996.1800179	1116.920049	1450.073791
956.9959241	1217.01537	1012.181443	1107.155627	1458.516092
957.9378786	1217.437507	992.6807928	1120.783361	1458.619378
965.0548901	1231.686249	998.237698	1110.81956	1479.751979
958.2025481	1234.397498	1009.707831	1107.044105	1460.03415
950.6163685	1211.866927	987.8823078	1103.326336	1452.13687
950.0039349	1211.678678	1001.489227	1102.556017	1474.403317
951.6085029	1212.498731	1010.366299	1103.391988	1451.616064
984.5473595	1254.879062	1010.503707	1132.6546	1527.593687
960.7133081	1219.55777	994.1531178	1125.381517	1460.751631
985.3387429	1238.64573	1035.711768	1121.941759	1487.41657
966.1400417	1239.477794	997.188056	1111.382043	1492.428599
954.7690865	1215.431895	990.763395	1105.217118	1454.838381
950.0045314	1223.673031	1000.215096	1108.484805	1453.048012
956.5349803	1225.309819	993.2895555	1108.090178	1480.182268
984.7726459	1238.832815	1008.370743	1130.414097	1490.332883
950.3550563	1212.34533	991.0631466	1102.790411	1469.491731
950.013991	1212.767053	991.8016609	1111.745144	1454.929963
986.5002128	1239.608682	1009.411914	1122.614506	1495.571721
960.702944	1219.549872	995.0621596	1111.89135	1460.725753
959.8877411	1218.914629	1003.928892	1108.464906	1460.030351
950.0177922	1218.64038	988.4187059	1104.46157	1457.757653
959.3234222	1219.770595	993.5816613	1107.631024	1460.130435
992.2857197	1244.133152	1012.875947	1125.758972	1492.378498
950.0792772	1213.773347	1002.222462	1102.629184	1450.915627
950.0060237	1212.836154	1009.118046	1103.449842	1450.820383
967.3305159	1237.287796	997.9632671	1112.323797	1467.344752
950.0171262	1211.32378	1010.241642	1104.254427	1469.303421
950.3871972	1217.381647	1001.136679	1105.135603	1450.494192
951.2232366	1212.497196	1008.231394	1119.15637	1493.942075
950.0437669	1215.781236	987.7638393	1106.269566	1455.805652
950.0360503	1211.798881	996.3369649	1113.618912	1492.343259
970.1133382	1227.904412	1017.893732	1119.795538	1470.367162
